date,workout_name,menu,set_order,weight,reps,distance,sec,note,workout_note,part
2018/7/2 6:37,Chest Day  fst7 #22,Triceps Extension,1,27.7,10,0,0,,,tricep
2018/7/2 6:37,Chest Day  fst7 #22,Triceps Extension,2,40.8,8,0,0,,,tricep
2018/7/2 6:37,Chest Day  fst7 #22,Triceps Extension,3,24.5,20,0,0,,,tricep
2018/10/14 14:30,午後ワークアウト,Triceps Dip,1,0,30,0,0,,,tricep
2018/10/14 14:30,午後ワークアウト,Triceps Dip,2,0,30,0,0,,,tricep
2018/10/14 14:30,午後ワークアウト,Triceps Dip,3,0,22,0,0,,,tricep
2018/10/10 7:14,マンデルブロ腕フェーズ3 #1,Triceps Dip,1,0,30,0,0,,,tricep
2018/10/10 7:14,マンデルブロ腕フェーズ3 #1,Triceps Dip,2,0,20,0,0,,,tricep
2018/10/10 7:14,マンデルブロ腕フェーズ3 #1,Triceps Dip,3,0,25,0,0,,,tricep
2018/11/21 6:30,マンデルブロ腕フェーズ2 #2,Triceps Dip,1,20,7,0,0,,,tricep
2018/11/21 6:30,マンデルブロ腕フェーズ2 #2,Triceps Dip,2,20,7,0,0,,,tricep
2018/10/3 5:56,マンデルブロ腕フェーズ2 #1,Triceps Dip,1,40,7,0,0,,,tricep
2018/10/3 5:56,マンデルブロ腕フェーズ2 #1,Triceps Dip,2,40,7,0,0,,,tricep
2018/9/27 6:00,マンデルブロ腕フェーズ2,Triceps Dip,1,40,6,0,0,,,tricep
2018/9/27 6:00,マンデルブロ腕フェーズ2,Triceps Dip,2,40,6,0,0,,,tricep
2018/12/19 6:05,マンデルブロ腕フェーズ1,Triceps Dip,1,20,10,0,0,,,tricep
2018/12/19 6:05,マンデルブロ腕フェーズ1,Triceps Dip,2,20,10,0,0,,,tricep
2019/1/8 6:09,マンデルブロ腕フェーズ1,Triceps Dip,1,0,10,0,0,,,tricep
2019/1/8 6:09,マンデルブロ腕フェーズ1,Triceps Dip,2,20,10,0,0,,,tricep
2019/2/14 6:07,マンデルブロ腕フェーズ1,Triceps Dip,1,0,20,0,0,,,tricep
2019/2/14 6:07,マンデルブロ腕フェーズ1,Triceps Dip,2,0,20,0,0,,,tricep
2019/2/20 7:46,マンデルブロ腕フェーズ1,Triceps Dip,1,0,12,0,0,,,tricep
2019/2/20 7:46,マンデルブロ腕フェーズ1,Triceps Dip,2,0,12,0,0,,,tricep
2018/10/2 6:01,マンデルブロbackフェーズ2 #1,Topside Deadlift,1,80,12,0,0,,,back
2018/10/2 6:01,マンデルブロbackフェーズ2 #1,Topside Deadlift,2,100,6,0,0,,,back
2018/10/2 6:01,マンデルブロbackフェーズ2 #1,Topside Deadlift,3,140,4,0,0,,,back
2018/10/2 6:01,マンデルブロbackフェーズ2 #1,Topside Deadlift,4,170,4,0,0,,,back
2018/9/26 6:15,マンデルブロbackフェーズ2,Topside Deadlift,1,80,12,0,0,,,back
2018/9/26 6:15,マンデルブロbackフェーズ2,Topside Deadlift,2,100,6,0,0,,,back
2018/9/26 6:15,マンデルブロbackフェーズ2,Topside Deadlift,3,140,3,0,0,,,back
